model,split,n,MAE,RMSE,Corr,DirectionalAcc,OOS_R2_vs_baseline
baseline_ticker_mean,test,6008,0.016471255475866458,0.0247811787783874,0.015846365970102284,0.5426098535286284,0.0
ar1_per_ticker,test,6008,0.01647348266404492,0.024785795934631875,0.020091811943922188,0.5426098535286284,-0.00037266882364583864
baseline_zero,test,6008,0.01653082995120083,0.024833422932003028,,0.4573901464713715,
ridge_pooled,test,6008,0.017224041381036247,0.02532277335996192,0.0397939855837163,0.460219707057257,-0.04418779931616523
rf_pooled,test,6008,0.019256834906802963,0.02700598236645364,0.04511910800336599,0.4620505992010652,-0.1876159942693949
rf_pooled,train,7720,0.011018308573501582,0.017435952409420252,0.5806931344261802,0.7047927461139897,0.17329028532315138
ridge_pooled,train,7720,0.012329270934510448,0.019091993260681686,0.09860464581247841,0.5400259067357513,0.008793284129185008
ar1_per_ticker,train,7720,0.012353106131190816,0.019163452822945824,0.04465100258217572,0.5362694300518135,0.0013594081198031738
baseline_ticker_mean,train,7720,0.012353267976875066,0.019176491594897656,0.02520252692611898,0.538860103626943,0.0
baseline_zero,train,7720,0.01240333857316567,0.019209538871538038,,0.46113989637305697,
baseline_ticker_mean,val,6048,0.019762215750665207,0.029256247087423443,0.007244293064755875,0.5221560846560847,0.0
baseline_zero,val,6048,0.019788131928884987,0.02925858096038941,,0.47784391534391535,
ar1_per_ticker,val,6048,0.01979906806706859,0.029304247401974456,-0.018408997252017407,0.5140542328042328,-0.003284063819199101
ridge_pooled,val,6048,0.01986681173872902,0.02943654410094378,-0.006373729887561688,0.5279431216931217,-0.012363347203341313
rf_pooled,val,6048,0.02001082877485449,0.029468583023074636,0.0137914557312539,0.5036375661375662,-0.014568271910860187
