model,n_test,MAE,RMSE,Corr,DirectionalAcc,OOS_R2_vs_baseline,n_vol,QLIKE,MSE_RV,n_prob,avg_logscore,coverage_90,wf_months,wf_RMSE_mean,wf_RMSE_std,wf_OOSR2_mean,gen_total_n_test_KSHOT60,gen_total_n_test_LOTO,gen_rmse_wavg_KSHOT60,gen_rmse_wavg_LOTO,gen_logscore_wavg_KSHOT60,gen_logscore_wavg_LOTO,gen_coverage90_wavg_KSHOT60,gen_coverage90_wavg_LOTO
ridge_pooled+garch11_t_sigma1,,,,,,,,,,6008.0,2.3330400003076166,0.9226031957390146,,,,,,,,,,,,
bayes_hier_partial_pooling,6008.0,0.0191559423994544,0.0269246449596682,0.0516767713739163,0.4570572569906791,,,,,6008.0,2.2330239334080813,0.902463382157124,,,,,,,,,,,,
gru_base+garch11_t_sigma1,,,,,,,,,,6008.0,-14.714680350435923,0.1904127829560586,,,,,,,,,,,,
gru_hybrid_garch11_t_sigma1+garch11_t_sigma1,,,,,,,,,,6008.0,-28.02912633578803,0.1338215712383488,,,,,,,,,,,,
baseline_ticker_mean,6008.0,0.0164712554758664,0.0247811787783874,0.0158463659701022,0.5426098535286284,0.0,,,,,,,,,,,,,,,,,,
ar1_per_ticker,6008.0,0.0164734826640449,0.0247857959346318,0.0200918119439221,0.5426098535286284,-0.0003726688236458,,,,,,,,,,,,,,,,,,
baseline_zero,6008.0,0.0165308299512008,0.024833422932003,,0.4573901464713715,,,,,,,,,,,,,,,,,,,
ridge_pooled,6008.0,0.0172240413810362,0.0253227733599619,0.0397939855837163,0.460219707057257,-0.0441877993161652,,,,,,,,,,,,,,,,,,
rf_pooled,6008.0,0.0192568349068029,0.0270059823664536,0.0451191080033659,0.4620505992010652,-0.1876159942693949,,,,,,,,,,,,,,,,,,
gru_base,6008.0,0.1048150509595871,0.1187743246555328,-0.0367989692516274,0.5419440745672437,-21.972127182318363,,,,,,,,,,,,,,,,,,
gru_hybrid_garch11_t_sigma1,6008.0,0.1946169137954712,0.2261254340410232,-0.030461317611058,0.5277962716378163,-82.26354140215898,,,,,,,,,,,,,,,,,,
RollingVar20,,,,,,,6008.0,-6.399996767170382,5.658921846271433e-06,,,,,,,,,,,,,,,
bayes_hier,,,,,,,,,,,,,,,,,6008.0,6008.0,0.026232990959821713,0.026099924954823637,2.21195542293395,2.2326548200632614,0.894474034620506,0.8899800266311585
egarch11_t,,,,,,,6008.0,-6.579851302860764,5.401094705399823e-06,,,,,,,,,,,,,,,
garch11_t,,,,,,,6008.0,-6.555961369924335,5.619552578699896e-06,,,,,,,,,,,,,,,
gjr11_t,,,,,,,6008.0,-6.560225847561804,5.499659087739059e-06,,,,,,,,,,,,,,,
ridge,,,,,,,,,,,,,,,,,6008.0,6008.0,0.0258268419550835,0.025848959840030595,2.237510040267721,2.2362800324013694,0.9011318242343542,0.900965379494008
ridge_walkforward_monthly,,,,,,,,,,,,,36.0,0.024348493313619584,0.0055268832457117285,-0.013366166151390748,,,,,,,,
