parameter,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
beta[0],-5.734083630402802e-05,0.00015594498343840673,-0.00034710065987623875,0.00013655317000226487,16783.624147975337,15304.727190031685,1.000341511774059,1.2460270184885483e-06,1.4068511934939546e-06
beta[1],-7.172092945863892e-05,0.0001868472941244959,-0.000424365543313884,0.00015899052011003706,16964.651652309112,15041.039331562208,1.000411335132817,1.4761157070397996e-06,1.6494120386470922e-06
beta[2],-9.632143050731727e-05,0.00017461775793524398,-0.0004350859098367863,0.00010567468865316168,11841.667107314805,12870.33821758143,1.0002078001982175,1.6831814296863628e-06,1.6836637743596586e-06
beta[3],-3.994019174003867e-06,0.00013531415552378183,-0.0002267685070342675,0.0002125393936105552,19033.551407262097,15519.523608829146,1.0001714117095482,9.778334908631299e-07,1.075418293356553e-06
beta[4],1.4157248127059496e-05,0.00013578657065191525,-0.00019691409467161407,0.00024983880767243604,19651.123477539422,16557.540818320827,1.0000261564865536,9.70379561933414e-07,1.071841499023664e-06
beta[5],-0.00017030957811652348,0.0002018719136057708,-0.0005504946287920622,5.1850448225295435e-05,8654.496249806962,13577.164129532533,1.0003746606254853,2.1979325943419676e-06,1.7093740554277566e-06
beta[6],-0.00017329904396237578,0.0003122224377095822,-0.0008009015328854662,0.00011960679456633884,7688.264795292367,9853.534230075391,1.0004469049188887,3.725466367078111e-06,4.618317926251467e-06
beta[7],0.000199168507354346,0.00033215126107227045,-0.00010842981074570315,0.0008748433138820239,7307.290978756256,9747.045995013637,1.0003320257764574,4.084197587241812e-06,4.948597838672073e-06
beta[8],3.2385971194932556e-05,0.00018356037542833746,-0.0002199871718576221,0.0003483471469857293,16988.390510034755,14817.344970768905,0.9999724725841169,1.433933731940638e-06,1.7811733126892559e-06
beta[9],-0.0005237379972396782,0.00043766670741120754,-0.0012924262421385928,1.0902831666385627e-05,3829.171220577609,5227.3713785478085,1.0009695483674523,6.935747690401116e-06,4.402946045432006e-06
beta[10],-5.63946554927357e-05,0.0001386506106152482,-0.000317096567301378,0.00012062360583762185,15395.16060398937,14499.321790335327,1.0002201371205108,1.163761882335282e-06,1.210119443078753e-06
beta[11],-0.000296962122977813,0.000332517608364823,-0.0009250790257853109,4.8469365026961694e-05,4784.969217721329,11995.79989702217,1.0007594779777793,4.815479653896387e-06,3.433253335457948e-06
beta[12],0.0006318796363148848,0.00017609306052984868,0.0003487333396733291,0.0009106669969949385,18735.28081570016,18946.802261871966,0.9999780876275314,1.2928228890659153e-06,9.501153795204754e-07
beta[13],0.00010560025608347405,0.00014798015465232223,-6.331868108484413e-05,0.00038996331490826234,9225.536836507248,13807.70387044644,1.0002384584975754,1.5759424641870695e-06,1.3787407936330876e-06
alpha[0],0.0010862499215329156,0.00031084299043694397,0.0006133847840598691,0.0016004002034516176,5945.088526374804,5780.608234620705,1.0004747883529397,3.921841573489182e-06,3.2602090782818674e-06
alpha[1],0.0010988617987319589,0.0003093489473949763,0.0006291370110645485,0.0016165096793297417,5891.976312338978,5355.51876632326,1.0006210586110436,3.908591431902158e-06,3.17470072033937e-06
alpha[2],0.0009121153340768883,0.0003048886901816885,0.00039877797826960227,0.0013648671605093299,4902.468756355009,5132.027429321203,1.0005557500948257,4.213106856113029e-06,3.3935518469667183e-06
alpha[3],0.0009100421859198096,0.0003233016461613179,0.00036199188793040383,0.0013807457175063016,5074.48152279316,6222.375390693971,1.0006701845492545,4.3839415915707395e-06,3.7763972017554745e-06
alpha[4],0.0010911553754389956,0.00029279595805286696,0.0006419613920548757,0.0015798819467193294,5612.672476628318,5353.128981419093,1.0003205657877543,3.809675521945747e-06,3.0370534873372915e-06
alpha[5],0.0011709376855169311,0.00041685429526988306,0.0006159050646761604,0.0019170825519438212,5851.461341225257,5307.983369699801,1.0006399348827644,5.1400604533239305e-06,5.400027789112666e-06
alpha[6],0.0007983445586797552,0.0003440016215692542,0.00020011599629891788,0.0012834250789881135,3832.756511370633,3294.1946602944063,1.0006465736022152,5.298598537068769e-06,4.269833523919215e-06
alpha[7],0.0009702660127204913,0.0003803573745085936,0.0003653697166707303,0.0015321375301192897,7394.431346080668,9462.954674375227,1.0008271345627366,4.087788308697016e-06,4.081131427334534e-06
mu_alpha,0.0010042473383889742,0.0002496251218144575,0.0006083720817681679,0.00138580720182956,4333.347682733491,5501.122602114859,1.000874820097734,3.710603902333735e-06,3.2673012498537883e-06
tau_a2,1.7363327441007093e-07,3.7846579124002146e-07,5.630886135232606e-10,6.497158014931852e-07,1864.6865744470317,1668.4604541058982,1.0003693070375013,4.481679130244665e-09,5.3304709686914296e-08
s2,1.000440030809763,0.01607699922962136,0.9749625276482525,1.026167463293683,20073.32663109115,20028.620071550416,1.0000159434151354,0.00011350200131556789,8.065257873947857e-05
tau_b2,1.0273362320969834e-07,2.080517748948315e-07,2.030517058074897e-09,3.760732540219016e-07,1907.0068055797651,2216.9945627738566,1.0017059763293537,3.0711400250150876e-09,2.207124301002884e-08
