parameter,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
beta[0],-0.00019806020949075464,0.00019996018190564534,-0.0005576112304061028,5.097911839139542e-05,10127.59365018714,15221.380460871329,1.0003870034822608,1.9917130400053996e-06,1.405935120881722e-06
beta[1],3.325155690646933e-05,0.00016800283077050387,-0.00021377384903133363,0.000328172349536359,17401.66049758526,15309.563898937044,1.0000498575741583,1.2836132322841804e-06,1.3143994050599519e-06
beta[2],-0.00022888262011417027,0.00020535913949697407,-0.0005878083033559205,3.0469101931056802e-05,10294.393691920592,15138.07118140587,1.0004751783738624,2.0298385109333026e-06,1.3441154934996865e-06
beta[3],7.22522010568401e-05,0.0001482308312249981,-0.00012539831333937637,0.000346165641359412,17266.54273146744,16661.39018966488,0.9999762834020893,1.1469408881629205e-06,1.0614086668157865e-06
beta[4],0.00011741895239939332,0.00016129352119046702,-8.552145320371636e-05,0.00041417400698299633,14393.76782140132,16322.429572255252,1.0002627233351251,1.3691660076191862e-06,1.1165409555729335e-06
beta[5],-0.0002257988595369823,0.0001869709706625686,-0.0005471201420042097,2.3993800481935767e-05,10855.84638356448,12996.461509391094,1.0000253638725152,1.7875634550828203e-06,1.169414741788669e-06
beta[6],-0.0004931588288866052,0.0004389307002422991,-0.0012535652309390412,4.3899828208974005e-05,5779.20852144542,10894.516645844977,1.0005990245856673,5.733696059155794e-06,3.528080903499157e-06
beta[7],0.0007548586956791991,0.00048417640570721674,1.4404848425426727e-05,0.0015553641417800587,5447.2382793851575,5797.769663822413,1.0008114654790492,6.461705980266755e-06,3.942928175991266e-06
beta[8],-2.1498708290155574e-06,0.00020977546113736442,-0.00035188407332346563,0.00033583029737245995,16179.617332717118,15048.575799021519,1.0002530274230743,1.6471739674342016e-06,1.7235409194793226e-06
beta[9],-0.0005543594019238345,0.0003640621758550845,-0.0011544280878955325,-3.5789274518791896e-06,5597.4897855639865,5681.058043810893,1.0000543820895615,4.821349528094355e-06,2.8214368518581386e-06
beta[10],0.00017832242090742297,0.00017491642506150732,-4.320868344773039e-05,0.000490714892811613,11761.329871990574,17431.54793744305,1.0001533396015507,1.6048480931831657e-06,1.1243287813471555e-06
beta[11],-0.0003968933999922588,0.00029303905785382886,-0.0008892058953284251,9.793946313414873e-06,6195.290503825754,7034.337370230148,1.000105925371871,3.6985423351883786e-06,2.2038955404405915e-06
beta[12],0.0004264065047274819,0.0001473607873760172,0.00018551676702027625,0.0006550740367705542,15712.518415494813,15922.92384153594,1.0000587913736523,1.1797436151587605e-06,8.295527941556177e-07
beta[13],0.00015139578061186106,0.00014253411510664363,-3.124241920688271e-05,0.00040082952240152943,10357.458723676442,15320.192720582121,1.000196699864986,1.4055087307972476e-06,9.84814302762303e-07
alpha[0],0.0014730817132238712,0.0002373213794164734,0.0011115510600426075,0.0018537596546381223,3393.640396502107,2767.4480208381115,1.0028494381937139,3.954432307640342e-06,3.2341701052138396e-06
alpha[1],0.0014922741907950467,0.00023655875383277636,0.0011336166053770472,0.0018701239261374716,3198.2051326372953,2455.124444740751,1.0024094791932412,4.0772627224141136e-06,3.2960962752561324e-06
alpha[2],0.0014259448721696782,0.00023036215281444408,0.001055629719748931,0.0017796387555897755,3384.019344401368,5256.13707644329,1.0021425795678816,3.897951759858005e-06,3.0308922070907078e-06
alpha[3],0.001451465682026052,0.00023742919993528599,0.0010795782178310174,0.001825497391805356,3199.811144292543,3183.1061040339077,1.0021617482810652,4.095992135258127e-06,3.3492300074135377e-06
alpha[4],0.001497195755196244,0.00023125949376851985,0.001142149983778833,0.0018748515473465416,3018.0626533410555,2410.320030755781,1.0025723275373868,4.097406712614526e-06,3.1825271554721683e-06
alpha[5],0.0015193916075857134,0.0002815042477753768,0.0011209867497811955,0.001984100153625442,3377.4829465023213,2522.206940638087,1.0020697043371163,4.429245522251048e-06,4.622857400383579e-06
alpha[6],0.0013801332038081014,0.00024108915110739786,0.0009854985166554372,0.0017416161245559067,3463.4997595477394,4379.217601266583,1.0012902060698585,3.985034262570331e-06,3.2832841080918513e-06
alpha[7],0.0014231955076606817,0.0002754322239761965,0.000987793845391964,0.0018283502463906321,4296.347316095808,6696.13901442511,1.0011637620976084,3.92717987433057e-06,3.933336318198459e-06
mu_alpha,0.0014581338750465076,0.0001955081251134941,0.0011467371394246527,0.0017664899424615509,2611.2771716837324,2133.395095269227,1.0033286104903492,3.7985067854889363e-06,2.9090624113390736e-06
tau_a2,6.46423936833228e-08,1.3911332204645868e-07,1.8937781391592233e-10,2.4188121339874563e-07,1702.5181509514828,1470.5550574260365,1.0022796747553768,1.6603775046853082e-09,7.703045010898099e-09
s2,0.5039130543321831,0.010469850451203891,0.48744495237746416,0.5207955035740451,18299.101335299543,19568.067782353013,1.0004832106341224,7.747712286355499e-05,5.513036839008432e-05
tau_b2,2.323219639362187e-07,3.772764399842593e-07,1.2581309960564846e-08,7.535666647422546e-07,3184.8547238053825,3842.803299859909,1.000483116085934,4.715945386800288e-09,2.5659702798614185e-08
nu,5.0,0.0,5.0,5.0,20000.0,20000.0,,0.0,
