feature,beta_mean,beta_sd,beta_q2.5,beta_q97.5,excludes_zero,shrinkage_kappa,weight_1_minus_kappa
DFF_diff_lag1,0.0004264065047274811,0.0001473607873760172,0.0001290019821470846,0.000709866761611883,True,0.10861783651280377,0.8913821634871962
ret_vol10,0.0007548586956791978,0.00048417640570721674,-1.9906094173388372e-05,0.0017292330844300408,False,0.1432054672307583,0.8567945327692417
mkt_ret_lag1,-0.0005543594019238343,0.0003640621758550845,-0.0012720100938654483,2.1335764853385923e-05,False,0.18430950465464851,0.8156904953453514
vix_ret_lag1,-0.00039689339999225963,0.00029303905785382886,-0.0009869089355369674,4.5682435942006466e-05,False,0.21939114195451917,0.7806088580454809
ret_vol5,-0.0004931588288866039,0.0004389307002422991,-0.0014223425208951123,0.00010417100041391042,False,0.2541403866140775,0.7458596133859225
DGS10_diff_lag1,0.00015139578061186082,0.00014253411510664363,-6.537333539959151e-05,0.00046111965759024903,False,0.3402766240911005,0.6597233759088995
vix_log_lag1,0.00017832242090742316,0.00017491642506150732,-8.295194818501026e-05,0.0005602167882743267,False,0.344026206784376,0.655973793215624
ret_lag10,-0.00022579885953698194,0.0001869709706625686,-0.0006202767611970825,6.013193323800329e-05,False,0.3450148767458915,0.6549851232541085
ret_lag2,-0.00022888262011417035,0.00020535913949697407,-0.0006711149578378829,7.473630324357417e-05,False,0.3763345092878398,0.6236654907121602
ret,-0.00019806020949075456,0.00019996018190564534,-0.0006396314573288695,9.525709465132149e-05,False,0.4153926980171093,0.5846073019828907
ret_vol20,-2.1498708290155637e-06,0.00020977546113736442,-0.00046876435605494956,0.00045457096138629675,False,0.4360040315363564,0.5639959684636435
ret_lag5,0.00011741895239939224,0.00016129352119046702,-0.00013742508478255776,0.000490962115453203,False,0.46325321485637366,0.5367467851436263
ret_lag3,7.225220105684064e-05,0.0001482308312249981,-0.00018176341056404016,0.0004248624831233746,False,0.5178728522452932,0.4821271477547068
ret_lag1,3.325155690646929e-05,0.00016800283077050387,-0.00029951476658831525,0.00042588550632720453,False,0.5253871525371102,0.4746128474628898
