Ticker,model,nobs_total,nobs_fit,loglik,aic,bic,params_json
AAPL,garch11_t,2472,966,-1637.1819644207908,3282.3639288415816,3301.8565841784316,"{""omega"": 0.19974829533880578, ""alpha[1]"": 0.15858020331289535, ""beta[1]"": 0.7835672223191088, ""nu"": 3.5589863316161803}"
AAPL,gjr11_t,2472,966,-1621.6510273803426,3253.302054760685,3277.6678739317476,"{""omega"": 0.14403073566879998, ""alpha[1]"": 0.00813324608152593, ""gamma[1]"": 0.24623138339405976, ""beta[1]"": 0.8364379451059953, ""nu"": 3.9569077503028325}"
AAPL,egarch11_t,2472,966,-1618.3792158032106,3246.7584316064213,3271.1242507774837,"{""omega"": 0.0758149937463695, ""alpha[1]"": 0.18615925499533523, ""gamma[1]"": -0.16680433091744834, ""beta[1]"": 0.9365532857491086, ""nu"": 4.038122675145923}"
AMZN,garch11_t,2472,966,-1694.1625432881838,3396.3250865763675,3415.8177419132176,"{""omega"": 0.1731464469249476, ""alpha[1]"": 0.17771022312473134, ""beta[1]"": 0.7690097856604924, ""nu"": 4.7260091942120175}"
AMZN,gjr11_t,2472,966,-1684.5845287321986,3379.169057464397,3403.5348766354596,"{""omega"": 0.19342467750414297, ""alpha[1]"": 0.03942604597455215, ""gamma[1]"": 0.2566658992960376, ""beta[1]"": 0.7795601019908946, ""nu"": 4.867051859843784}"
AMZN,egarch11_t,2472,966,-1685.2000936050533,3380.4001872101067,3404.766006381169,"{""omega"": 0.08303876533413794, ""alpha[1]"": 0.2766641794724553, ""gamma[1]"": -0.13952393130043866, ""beta[1]"": 0.9300040029611096, ""nu"": 4.796888247361451}"
GOOGL,garch11_t,2472,966,-1555.395067258187,3118.790134516374,3138.282789853224,"{""omega"": 0.023960769298288925, ""alpha[1]"": 0.0568168990332692, ""beta[1]"": 0.9363163182545315, ""nu"": 3.6837363987144043}"
GOOGL,gjr11_t,2472,966,-1550.7610160006357,3111.5220320012713,3135.8878511723337,"{""omega"": 0.042800442417173554, ""alpha[1]"": 0.013931072761400695, ""gamma[1]"": 0.0827605470118662, ""beta[1]"": 0.927766003853628, ""nu"": 3.7366550937236545}"
GOOGL,egarch11_t,2472,966,-1549.644025781849,3109.288051563698,3133.6538707347604,"{""omega"": 0.03333294459384416, ""alpha[1]"": 0.12509342506131096, ""gamma[1]"": -0.09606428102618744, ""beta[1]"": 0.971418165767514, ""nu"": 3.7351818870494724}"
META,garch11_t,2472,966,-1725.84815516131,3459.69631032262,3479.18896565947,"{""omega"": 0.01904237870028018, ""alpha[1]"": 0.02351179482716383, ""beta[1]"": 0.9701793956229278, ""nu"": 3.564109731138594}"
META,gjr11_t,2472,966,-1717.4869945098253,3444.9739890196506,3469.339808190713,"{""omega"": 0.03880483890578146, ""alpha[1]"": 0.0, ""gamma[1]"": 0.07188928398056761, ""beta[1]"": 0.9513265632306066, ""nu"": 3.6404787016414857}"
META,egarch11_t,2472,966,-1709.3237767202168,3428.6475534404335,3453.013372611496,"{""omega"": 0.02360513144370333, ""alpha[1]"": 0.05393465358406556, ""gamma[1]"": -0.08384525171243269, ""beta[1]"": 0.9823121019445632, ""nu"": 3.8148019191092777}"
MSFT,garch11_t,2472,966,-1528.0810293138818,3064.1620586277636,3083.6547139646136,"{""omega"": 0.08101966653136716, ""alpha[1]"": 0.15632065070228257, ""beta[1]"": 0.8181233486752036, ""nu"": 4.206119901156228}"
MSFT,gjr11_t,2472,966,-1513.9835163977991,3037.9670327955982,3062.3328519666607,"{""omega"": 0.10027114224545752, ""alpha[1]"": 0.0, ""gamma[1]"": 0.29139931152983156, ""beta[1]"": 0.8330198168511608, ""nu"": 4.232642428866349}"
MSFT,egarch11_t,2472,966,-1510.74276343444,3031.48552686888,3055.851346039942,"{""omega"": 0.05618744090363912, ""alpha[1]"": 0.20461829109490695, ""gamma[1]"": -0.18242390891528634, ""beta[1]"": 0.9445450147285432, ""nu"": 4.20306129039592}"
NVDA,garch11_t,2472,966,-2186.1380715203377,4380.276143040675,4399.768798377526,"{""omega"": 1.1011870180217465, ""alpha[1]"": 0.1589684617178519, ""beta[1]"": 0.7197023672184845, ""nu"": 3.3953868836236962}"
NVDA,gjr11_t,2472,966,-2176.707955291943,4363.415910583886,4387.781729754949,"{""omega"": 0.888547131451905, ""alpha[1]"": 0.03509775796257599, ""gamma[1]"": 0.24165125011145236, ""beta[1]"": 0.7611208523827402, ""nu"": 3.461805465592187}"
NVDA,egarch11_t,2472,966,-2173.417719437505,4356.83543887501,4381.201258046073,"{""omega"": 0.19744040664868842, ""alpha[1]"": 0.21755364774183455, ""gamma[1]"": -0.14464117229633622, ""beta[1]"": 0.9157861180546237, ""nu"": 3.552096849031727}"
ORCL,garch11_t,2472,966,-1433.8518102818787,2875.7036205637573,2895.1962759006074,"{""omega"": 0.2528755786974864, ""alpha[1]"": 0.1982919746873294, ""beta[1]"": 0.7227947394517625, ""nu"": 2.8844347505161387}"
ORCL,gjr11_t,2472,966,-1432.360933428789,2874.721866857578,2899.0876860286403,"{""omega"": 0.2049020646041513, ""alpha[1]"": 0.07193881577866461, ""gamma[1]"": 0.15438812282141742, ""beta[1]"": 0.7774833057925055, ""nu"": 2.9018606051284204}"
ORCL,egarch11_t,2472,966,-1427.184290811571,2864.368581623142,2888.7344007942042,"{""omega"": 0.06580753856753917, ""alpha[1]"": 0.19704483656060262, ""gamma[1]"": -0.07130429513716272, ""beta[1]"": 0.9345900125648098, ""nu"": 2.9924086815347763}"
TSLA,garch11_t,2472,966,-2293.4763031522875,4594.952606304575,4614.4452616414255,"{""omega"": 0.07685361727272584, ""alpha[1]"": 0.01522279355249996, ""beta[1]"": 0.9752757173777248, ""nu"": 4.201603767978119}"
TSLA,gjr11_t,2472,966,-2293.095520119721,4596.191040239442,4620.556859410505,"{""omega"": 0.1083783759080084, ""alpha[1]"": 0.01113300472014733, ""gamma[1]"": 0.015770196845072717, ""beta[1]"": 0.9674429993247465, ""nu"": 4.1924937210502415}"
TSLA,egarch11_t,2472,966,-2290.836679514007,4591.673359028014,4616.039178199077,"{""omega"": 0.03745351922513898, ""alpha[1]"": 0.061424014257234115, ""gamma[1]"": -0.029384795526491488, ""beta[1]"": 0.9844463474810093, ""nu"": 4.196151511689634}"
