feature,coef,abs_coef
num__sp500_ret_lag1,-0.009650584526005026,0.009650584526005026
num__mkt_ret_lag1,0.007959488514394882,0.007959488514394882
num__ret_vol10,0.0014373617815969402,0.0014373617815969402
num__vix_ret_lag1,-0.0010563662214699426,0.0010563662214699426
num__DFF_diff_lag1,0.0009266909899143244,0.0009266909899143244
num__DGS10_lag1,-0.000892109394554482,0.000892109394554482
cat__Ticker_NVDA,0.0007516943679478558,0.0007516943679478558
num__ret_vol5,-0.0006628178801799137,0.0006628178801799137
cat__Ticker_TSLA,-0.0006343263955223302,0.0006343263955223302
num__ret_lag10,-0.0006323688845853783,0.0006323688845853783
num__ret,-0.0004899665343601523,0.0004899665343601523
cat__Ticker_ORCL,-0.00043394881870887145,0.00043394881870887145
cat__Ticker_MSFT,0.0003726398616305045,0.0003726398616305045
num__ret_vol20,-0.0003686973932351276,0.0003686973932351276
cat__Ticker_META,-0.0003424918435138448,0.0003424918435138448
num__SP500_lag1,-0.0003109696289937119,0.0003109696289937119
cat__Ticker_AAPL,0.0002876216218996113,0.0002876216218996113
cat__Ticker_GOOGL,-0.00027472756463903697,0.00027472756463903697
cat__Ticker_AMZN,0.0002735387709067059,0.0002735387709067059
num__DGS10_diff_lag1,0.0002670108096273712,0.0002670108096273712
num__vix_level_lag1,-0.0002571134139508448,0.0002571134139508448
num__DFF_lag1,0.0001837308995197507,0.0001837308995197507
num__ret_lag5,6.248363874857518e-05,6.248363874857518e-05
num__ret_lag3,-4.558820388584267e-05,4.558820388584267e-05
num__ret_lag1,3.326623017701982e-05,3.326623017701982e-05
num__ret_lag2,1.5241011468593912e-05,1.5241011468593912e-05
