feature,coef,abs_coef
num__sp500_ret_lag1,-0.009660833476890474,0.009660833476890474
num__mkt_ret_lag1,0.007966918686455396,0.007966918686455396
num__ret_vol10,0.0015103064085795297,0.0015103064085795297
num__gjr11_t_sigma1,-0.0011153725013238226,0.0011153725013238226
num__vix_ret_lag1,-0.0010514561725094931,0.0010514561725094931
num__egarch11_t_sigma1,0.0009318150299427608,0.0009318150299427608
num__DFF_diff_lag1,0.0009312081146235238,0.0009312081146235238
num__DGS10_lag1,-0.0008849064409022869,0.0008849064409022869
cat__Ticker_NVDA,0.0007676607931486925,0.0007676607931486925
cat__Ticker_TSLA,-0.0007052448508974335,0.0007052448508974335
num__ret_lag10,-0.000630064539036047,0.000630064539036047
num__ret_vol5,-0.0005668430403892484,0.0005668430403892484
num__ret,-0.0005103214252895132,0.0005103214252895132
cat__Ticker_ORCL,-0.00037198863407708605,0.00037198863407708605
cat__Ticker_MSFT,0.0003604121562462838,0.0003604121562462838
cat__Ticker_GOOGL,-0.000298324904330031,0.000298324904330031
cat__Ticker_AAPL,0.00029787582988436215,0.00029787582988436215
cat__Ticker_META,-0.0002960343789576189,0.0002960343789576189
num__SP500_lag1,-0.00028928899220648767,0.00028928899220648767
num__ret_vol20,-0.00028308568444519754,0.00028308568444519754
num__vix_level_lag1,-0.0002804668136044737,0.0002804668136044737
num__DGS10_diff_lag1,0.0002603324376134326,0.0002603324376134326
cat__Ticker_AMZN,0.00024564398898283555,0.00024564398898283555
num__DFF_lag1,0.00015672540974145943,0.00015672540974145943
num__ret_lag5,6.046035776741397e-05,6.046035776741397e-05
num__ret_lag3,-5.3031275742722297e-05,5.3031275742722297e-05
num__garch11_t_sigma1,-4.89046195234962e-05,4.89046195234962e-05
num__ret_lag1,1.9149136639354493e-05,1.9149136639354493e-05
num__ret_lag2,2.5783447315346668e-06,2.5783447315346668e-06
