feature,importance
num__vix_level_lag1,0.08256887674930458
num__ret,0.06681196221813819
num__DGS10_lag1,0.06606546084960682
num__vix_ret_lag1,0.06508580028718094
num__ret_lag3,0.061455101067710446
num__ret_lag10,0.05569444397787725
num__ret_lag2,0.05241623478068846
num__ret_lag5,0.05127075055451658
num__ret_lag1,0.04984291593780685
num__SP500_lag1,0.04806247838857988
num__egarch11_t_sigma1,0.04327772941760446
num__sp500_ret_lag1,0.04216789080734903
num__ret_vol5,0.04056078953111834
num__DGS10_diff_lag1,0.040130804914178315
num__garch11_t_sigma1,0.039726798304892515
num__ret_vol20,0.03818810423731169
num__mkt_ret_lag1,0.03801654726904173
num__ret_vol10,0.03577671769704493
num__gjr11_t_sigma1,0.03332926011053855
num__DFF_lag1,0.02296692296664784
num__DFF_diff_lag1,0.016665695627183227
cat__Ticker_NVDA,0.003438989488886474
cat__Ticker_TSLA,0.0029171458954751687
cat__Ticker_META,0.001045856979809893
cat__Ticker_AAPL,0.0007190896303810361
cat__Ticker_AMZN,0.0006112681725067041
cat__Ticker_ORCL,0.0005641045049261245
cat__Ticker_GOOGL,0.0003636644548353348
cat__Ticker_MSFT,0.00025859517885878263
