feature,coef,abs_coef
num__DFF_diff_lag1,0.0008018120582472362,0.0008018120582472362
num__ret_vol10,0.0007550156236918357,0.0007550156236918357
num__DGS10_lag1,-0.0007217815158940025,0.0007217815158940025
num__sp500_ret_lag1,-0.0006927617384078807,0.0006927617384078807
num__vix_ret_lag1,-0.0006610093402117227,0.0006610093402117227
num__ret_lag10,-0.0005680042726938139,0.0005680042726938139
num__mkt_ret_lag1,-0.0005125812233394197,0.0005125812233394197
num__ret,-0.0004202547174696735,0.0004202547174696735
cat__Ticker_NVDA,0.0003719562322132634,0.0003719562322132634
cat__Ticker_TSLA,-0.00030247450456991255,0.00030247450456991255
num__ret_vol5,-0.00029295011290373946,0.00029295011290373946
cat__Ticker_ORCL,-0.00021417971409734484,0.00021417971409734484
num__DGS10_diff_lag1,0.00020733904275980515,0.00020733904275980515
num__SP500_lag1,-0.00018680498029569978,0.00018680498029569978
cat__Ticker_MSFT,0.0001794205278092853,0.0001794205278092853
cat__Ticker_META,-0.00016903972933236507,0.00016903972933236507
num__vix_level_lag1,-0.00014291711726095214,0.00014291711726095214
cat__Ticker_AAPL,0.00013775253108422824,0.00013775253108422824
cat__Ticker_GOOGL,-0.00013445572616637474,0.00013445572616637474
cat__Ticker_AMZN,0.00013102038305920182,0.00013102038305920182
num__ret_lag5,6.534736358649271e-05,6.534736358649271e-05
num__ret_vol20,-6.204829230099596e-05,6.204829230099596e-05
num__ret_lag2,4.1160678139486154e-05,4.1160678139486154e-05
num__DFF_lag1,-3.0094831447196025e-05,3.0094831447196025e-05
num__ret_lag1,-2.7314120372418176e-05,2.7314120372418176e-05
num__ret_lag3,-2.0578237291027622e-05,2.0578237291027622e-05
