feature,coef,abs_coef
num__DFF_diff_lag1,0.0008024489008434668,0.0008024489008434668
num__ret_vol10,0.00077768004465157,0.00077768004465157
num__DGS10_lag1,-0.000720521039171396,0.000720521039171396
num__sp500_ret_lag1,-0.0006936268253150241,0.0006936268253150241
num__vix_ret_lag1,-0.0006604532176584057,0.0006604532176584057
num__ret_lag10,-0.0005672181159215801,0.0005672181159215801
num__mkt_ret_lag1,-0.0005133716062126857,0.0005133716062126857
num__ret,-0.00042004464055118317,0.00042004464055118317
cat__Ticker_NVDA,0.00038881560741768926,0.00038881560741768926
cat__Ticker_TSLA,-0.0002932786718521762,0.0002932786718521762
num__ret_vol5,-0.0002661866393259598,0.0002661866393259598
cat__Ticker_ORCL,-0.0002145861451475906,0.0002145861451475906
num__DGS10_diff_lag1,0.0002063372017473666,0.0002063372017473666
num__SP500_lag1,-0.0001853094820829961,0.0001853094820829961
cat__Ticker_MSFT,0.00017045059698483765,0.00017045059698483765
cat__Ticker_META,-0.00016836201645733563,0.00016836201645733563
num__vix_level_lag1,-0.00014522835937578937,0.00014522835937578937
cat__Ticker_GOOGL,-0.00014282467593317198,0.00014282467593317198
num__gjr11_t_sigma1,-0.00013817923178569526,0.00013817923178569526
cat__Ticker_AAPL,0.00013513603195035225,0.00013513603195035225
num__egarch11_t_sigma1,0.00013389599670429942,0.00013389599670429942
cat__Ticker_AMZN,0.00012464927303740424,0.00012464927303740424
num__garch11_t_sigma1,-7.887621766770497e-05,7.887621766770497e-05
num__ret_lag5,6.65312787095704e-05,6.65312787095704e-05
num__ret_lag2,4.13893381797037e-05,4.13893381797037e-05
num__ret_vol20,-3.710461245514166e-05,3.710461245514166e-05
num__DFF_lag1,-2.9891905089812494e-05,2.9891905089812494e-05
num__ret_lag1,-2.615271249046401e-05,2.615271249046401e-05
num__ret_lag3,-1.975508746802368e-05,1.975508746802368e-05
